-c a33 -d AC -r DA_CTL -p SDO_EN = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF2_ADCR_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF2_DACL_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF2_DACR_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p ADCL_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p ADCR_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p Reserved = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p AIF1_DAC0_DRC_ENA = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p Reserved = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p AIF1_DAC1_DRC_ENA = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p Reserved = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p AIF2_DAC_DRC_ENA = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p Reserved = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p DAC_DRC_ENA = 0, (default=0)
-c a33 -d AC -r DRC_ENA -p Reserved = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL1 -p SRC1_RATI_ENA = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL1 -p SRC1_LOCK_STS = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL1 -p SRC1_FIFO_OVR = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL1 -p SRC1_FIFO_LEV_ = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL1 -p SRC1_RATI_SET_ = 0, (default=0)
-c a33 -d AC -r SRC1_CTROL2 -p SRC1_RATI_StET_ = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL3 -p SRC1_FIFO_LEV_ = 0, (default=0)
-c a33 -d AC -r SRC1_CTRL3 -p SRC1_RATI_VAL_ = 0, (default=64)
-c a33 -d AC -r SRC1_CTRL4 -p SRC1_RATI_VAL_ = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL1 -p SRC2_RATI_ENA = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL1 -p SRC2_LOCK_STS = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL1 -p SRC2_FIFO_OVR = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL1 -p SRC2_FIFO_LEV_ = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL1 -p SRC2_RATI_SET_ = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL2 -p SRC2_RATI_SET_ = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL3 -p SRC2_FIFO_LEV_ = 0, (default=0)
-c a33 -d AC -r SRC2_CTRL3 -p SRC2_RATI_VAL_ = 0, (default=64)
-c a33 -d AC -r SRC2_CTRL4 -p SRC2_RATI_VAL_ = 0, (default=0)
-c a33 -d AC -r HP_VOLC -p PAclockgatingcontrol = 0, (default=0)
-c a33 -d AC -r HP_VOLC -p HPVOL = 0, (default=0)
-c a33 -d AC -r LOMIXSC -p LMIXMUTE = 0, (default=0)
-c a33 -d AC -r ROMIXSC -p RMIXMUTE = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p DACAREN = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p DACALEN = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p RMIXEN = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p LMIXEN = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p RHPPAMUTE = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p LHPPAMUTE = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p RHPIS = 0, (default=0)
-c a33 -d AC -r DAC_PA_SRC -p LHPIS = 0, (default=0)
-c a33 -d AC -r PHONEIN_GCTRL -p PHONEPG = 0, (default=3)
-c a33 -d AC -r PHONEIN_GCTRL -p PHONENG = 0, (default=3)
-c a33 -d AC -r LINEIN_GCTRL -p LINEING = 0, (default=3)
-c a33 -d AC -r LINEIN_GCTRL -p PHONEG = 0, (default=3)
-c a33 -d AC -r MICIN_GCTRL -p MIC1G = 0, (default=3)
-c a33 -d AC -r MICIN_GCTRL -p MIC2G = 0, (default=3)
-c a33 -d AC -r PAEN_HP_CTRL -p HPPAEN = 0, (default=0)
-c a33 -d AC -r PAEN_HP_CTRL -p HPCOM_FC = 0, (default=0)
-c a33 -d AC -r PAEN_HP_CTRL -p COMPTEN = 0, (default=1)
-c a33 -d AC -r PAEN_HP_CTRL -p PA_ANTI_POP_CTRL = 0, (default=1)
-c a33 -d AC -r PAEN_HP_CTRL -p LTRNMUTE = 0, (default=0)
-c a33 -d AC -r PAEN_HP_CTRL -p RTLNMUTE = 0, (default=0)
-c a33 -d AC -r PHONEOUT_CTRL -p PHONEOUTenable = 0, (default=0)
-c a33 -d AC -r PHONEOUT_CTRL -p PHONEOUTS3 = 0, (default=0)
-c a33 -d AC -r PHONEOUT_CTRL -p PHONEOUTS2 = 0, (default=0)
-c a33 -d AC -r PHONEOUT_CTRL -p PHONEOUTS1 = 0, (default=0)
-c a33 -d AC -r PHONEOUT_CTRL -p PHONEOUTS0 = 0, (default=0)
-c a33 -d AC -r PHONEP_N_GAIN_CTR -p PHONEPREG = 0, (default=4)
-c a33 -d AC -r MIC2G_LINEEN_CTRL -p MIC2AMPEN = 0, (default=0)
-c a33 -d AC -r MIC2G_LINEEN_CTRL -p MIC2BOOST = 0, (default=4)
-c a33 -d AC -r MIC1G_MICBIAS_CTRL -p HMICBIASEN = 0, (default=0)
-c a33 -d AC -r MIC1G_MICBIAS_CTRL -p MMICBIASEN = 0, (default=0)
-c a33 -d AC -r MIC1G_MICBIAS_CTRL -p HMICBIASMODE = 0, (default=0)
-c a33 -d AC -r MIC1G_MICBIAS_CTRL -p MIC1AMPEN = 0, (default=0)
-c a33 -d AC -r MIC1G_MICBIAS_CTRL -p MIC1BOOST = 0, (default=4)
-c a33 -d AC -r LADCMIXSC -p LADCMIXMUTE = 0, (default=0)
-c a33 -d AC -r RADCMIXSC -p RADCMIXMUTE = 0, (default=0)
-c a33 -d AC -r ReservedRegister -p PA_ANTI_POP_CTRL = 0, (default=0)
-c a33 -d AC -r ADC_AP_EN -p ADCLEN = 0, (default=0)
-c a33 -d AC -r ADC_AP_EN -p ADCG = 0, (default=3)
-c a33 -d AC -r ADDA_APT2 -p functionenableformastervolumechangeatzerocrossover = 0, (default=0)
-c a33 -d AC -r ADDA_APT2 -p Timeoutcontrolformastervolumechangeatzerocrossover = 0, (default=1)
-c a33 -d AC -r ADDA_APT2 -p PTDBS = 0, (default=0)
-c a33 -d AC -r ADDA_APT2 -p PA_SLOPE_SELECT = 0, (default=0)
-c a33 -d AC -r ADDA_APT2 -p USB_BIAS_CUR = 0, (default=2)
-c a33 -d AC -r BIASCALI -p BIASCALI = 0, (default=32)
-c a33 -d AC -r BIASVERIFY -p BIASVERIFY = 0, (default=32)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p PLL_ENABLE = 1, (default=0)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p LOCK = 1, (default=0)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p CPUX_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p PLL_OUT_EXT_DIV_P = 0, (default=0)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p PLL_FACTOR_N = 28, (default=16)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p PLL_FACTOR_K = 1, (default=0)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p PLL_FACTOR_M = 0, (default=0)
-c a33 -d CCU -r PLL_CPUX_CTRL_REG -p virtual_clock = 1392 Mhz
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p PLL_POSTDIV_P = 0, (default=3)
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p PLL_FACTOR_N = 85, (default=85)
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p PLL_PREDIV_M = 20, (default=20)
-c a33 -d CCU -r PLL_AUDIO_CTRL_REG -p virtual_clock = 98 Mhz
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p PLL_ENABLE = 1, (default=0)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p PLL_MODE = 0, (default=0)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p LOCK = 1, (default=0)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p FRAC_CLK_OUT = 0, (default=1)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p PLL_MODE_SEL = 1, (default=1)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p PLL_FACTOR_N = 64, (default=98)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p PLL_PREDIV_M = 7, (default=7)
-c a33 -d CCU -r PLL_VIDEO_CTRL_REG -p virtual_clock = 195 Mhz
-c a33 -d CCU -r PLL_VE_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p FRAC_CLK_OUT = 1, (default=1)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p PLL_MODE_SEL = 1, (default=1)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p PLL_FACTOR_N = 39, (default=98)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p PLL_PREDIV_M = 2, (default=7)
-c a33 -d CCU -r PLL_VE_CTRL_REG -p virtual_clock = 320 Mhz
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p PLL_DDR0_CFG_UPDATE = 0, (default=0)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p PLL_FACTOR_N = 16, (default=16)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p PLL_FACTOR_K = 0, (default=0)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p PLL_FACTOR_M = 0, (default=0)
-c a33 -d CCU -r PLL_DDR0_CTRL_REG -p virtual_clock = 408 Mhz
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_ENABLE = 1, (default=0)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p LOCK = 1, (default=0)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_BYPASS_EN = 0, (default=0)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_CLK_OUT_EN = 0, (default=0)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_24M_OUT_EN = 1, (default=1)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_24M_POST_DIV = 0, (default=0)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_FACTOR_N = 24, (default=24)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_FACTOR_K = 1, (default=1)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p PLL_FACTOR_M = 1, (default=1)
-c a33 -d CCU -r PLL_PERIPH_CTRL_REG -p virtual_clock = 600 Mhz
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p FRAC_CLK_OUT = 1, (default=1)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p PLL_MODE_SEL = 1, (default=1)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p PLL_FACTOR_N = 15, (default=98)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p PLL_PRE_DIV_M = 0, (default=7)
-c a33 -d CCU -r PLL_GPU_CTRL_REG -p virtual_clock = 192 Mhz
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p SDIV2 = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p S6P25_7P5 = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p PLL_FEEDBACK_DIV = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p VFB_SEL = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p PLL_FACTOR_N = 5, (default=5)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p PLL_FACTOR_K = 0, (default=0)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p PLL_PRE_DIV_M = 2, (default=2)
-c a33 -d CCU -r PLL_MIPI_CTRL_REG -p virtual_clock = 48 Mhz
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p FRAC_CLK_OUT = 1, (default=1)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p PLL_MODE_SEL = 1, (default=1)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p PLL_FACTOR_N = 19, (default=19)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p PLL_PRE_DIV_M = 0, (default=0)
-c a33 -d CCU -r PLL_HSIC_CTRL_REG -p virtual_clock = 480 Mhz
-c a33 -d CCU -r PLL_DE_CTRL_REG -p PLL_ENABLE = 0, (default=0)
-c a33 -d CCU -r PLL_DE_CTRL_REG -p LOCK = 0, (default=0)
-c a33 -d CCU -r PLL_DE_CTRL_REG -p FRAC_CLK_OUT = 1, (default=1)
-c a33 -d CCU -r PLL_DE_CTRL_REG -p PLL_MODE_SEL = 1, (default=1)
-c a33 -d CCU -r PLL_DE_CTRL_REG -p PLL_SDM_EN = 0, (default=0)
-c a33 -d CCU -r PLL_DE_CTRL_REG -p PLL_FACTOR_N = 98, (default=98)
-c a33 -d CCU -r PLL_DE_CTRL_REG -p PLL_PRE_DIV_M = 7, (default=7)
-c a33 -d CCU -r PLL_DDR1_CTRL_REG -p PLL_ENABLE = 1, (default=0)
-c a33 -d CCU -r PLL_DDR1_CTRL_REG -p SDRPLL_UPD = 0, (default=0)
-c a33 -d CCU -r PLL_DDR1_CTRL_REG -p LOCK = 1, (default=0)
-c a33 -d CCU -r PLL_DDR1_CTRL_REG -p PLL_SDM_EN = 1, (default=0)
-c a33 -d CCU -r PLL_DDR1_CTRL_REG -p PLL_FACTOR_N = 35, (default=24)
-c a33 -d CCU -r PLL_DDR1_CTRL_REG -p virtual_clock = 864 Mhz
-c a33 -d CCU -r CPU_AXI_CFG_REG -p CPUX_CLK_SRC_SEL = 2, (default=1)
-c a33 -d CCU -r CPU_AXI_CFG_REG -p CPU_APB_CLK_DIV = 1, (default=0)
-c a33 -d CCU -r CPU_AXI_CFG_REG -p AXI_CLK_DIV_RATIO = 2, (default=0)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p AHB1_CLK_SRC_SEL = 3, (default=1)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p APB1_CLK_RATIO = 1, (default=0)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p AHB1_PRE_DIV = 2, (default=0)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p AHB1_CLK_DIV_RATIO = 0, (default=1)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p APB2_CLK_SRC_SEL = 0, (default=1)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p CLK_RAT_N = 0, (default=0)
-c a33 -d CCU -r AHB1_APB1_CFG_REG -p CLK_RAT_M = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p USBOHCI_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p USBEHCI_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p USBDRD_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p SPI1_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p SPI0_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p HSTMR_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p DRAM_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p NAND_GATING = 1, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p MMC2_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p MMC1_GATING = 1, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p MMC0_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p DMA_GATING = 1, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p SS_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG0 -p MIPIDSI_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p SAT_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p DRC_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p SPINLOCK_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p MSGBOX_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p GPU_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p FE_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p BE_GATING = 1, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p CSI_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p LCD_GATING = 1, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG1 -p VE_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG2 -p DAUDIO1_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG2 -p DAUDIO0_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG2 -p PIO_GATING = 1, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG2 -p ADDA_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p UART4_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p UART3_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p UART2_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p UART1_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p UART0_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p TWI2_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p TWI1_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p TWI0_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r BUS_CLK_GATING_REG3 -p CLK_DIV_RATIO_M = 0, (default=0)
-c a33 -d CCU -r NAND_CLK_REG -p SCLK_GATING = 1, (default=0)
-c a33 -d CCU -r NAND_CLK_REG -p CLK_SRC_SEL = 1, (default=0)
-c a33 -d CCU -r NAND_CLK_REG -p CLK_DIV_RATIO_N = 2, (default=0)
-c a33 -d CCU -r NAND_CLK_REG -p CLK_DIV_RATIO_M = 10, (default=0)
-c a33 -d CCU -r SDMMC0_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r SDMMC0_CLK_REG -p CLK_SRC_SEL = 1, (default=0)
-c a33 -d CCU -r SDMMC0_CLK_REG -p SAMPLE_CLK_PHASE_CTR = 4, (default=0)
-c a33 -d CCU -r SDMMC0_CLK_REG -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r SDMMC0_CLK_REG -p OUTPUT_CLK_PHASE_CTR = 3, (default=0)
-c a33 -d CCU -r SDMMC0_CLK_REG -p CLK_DIV_RATIO_M = 11, (default=0)
-c a33 -d CCU -r SDMMC1_CLK_REG -p SCLK_GATING = 1, (default=0)
-c a33 -d CCU -r SDMMC1_CLK_REG -p CLK_SRC_SEL = 1, (default=0)
-c a33 -d CCU -r SDMMC1_CLK_REG -p SAMPLE_CLK_PHASE_CTR = 4, (default=0)
-c a33 -d CCU -r SDMMC1_CLK_REG -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r SDMMC1_CLK_REG -p OUTPUT_CLK_PHASE_CTR = 3, (default=0)
-c a33 -d CCU -r SDMMC1_CLK_REG -p CLK_DIV_RATIO_M = 11, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p MMC2_MODE_SELECT = 0, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p CLK_PHASE_CTR = 0, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p OUTPUT_CLK_PHASE_CTR = 0, (default=0)
-c a33 -d CCU -r SDMMC2_CLK_REG -p CLK_DIV_RATIO_M = 0, (default=0)
-c a33 -d CCU -r SS_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r SS_CLK_REG -p CLK_SRC_SEL = 1, (default=0)
-c a33 -d CCU -r SS_CLK_REG -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r SS_CLK_REG -p CLK_DIV_RATIO_M = 3, (default=0)
-c a33 -d CCU -r SPI0_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r SPI0_CLK_REG -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r SPI0_CLK_REG -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r SPI0_CLK_REG -p CLK_DIV_RATIO_M = 0, (default=0)
-c a33 -d CCU -r SPI1_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r SPI1_CLK_REG -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r SPI1_CLK_REG -p CLK_DIV_RATIO_N = 0, (default=0)
-c a33 -d CCU -r SPI1_CLK_REG -p CLK_DIV_RATIO_M = 0, (default=0)
-c a33 -d CCU -r DAUDIO0_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r DAUDIO0_CLK_REG -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r DAUDIO1_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r DAUDIO1_CLK_REG -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p SCLK_GATING_OHCI = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p SCLK_GATING_USBPHY1 = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p SCLK_GATING_USBPHY0 = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p USBPHY1_RST = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p USBPHY0_RST = 1, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p DRAM_CTR_RST = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p SDRCLK_UPD = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p DRAM_DIV_M = 1, (default=1)
-c a33 -d CCU -r USBPHY_CFG_REG -p PLL_DDR_SRC_SELECT = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p PLL_DDR1_MODE = 0, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p PLL_DDR1_PHASE_COMPENSATE = 0, (default=3)
-c a33 -d CCU -r USBPHY_CFG_REG -p PLL_DDR1_STEP = 1, (default=0)
-c a33 -d CCU -r USBPHY_CFG_REG -p MBUS_RESET = 0, (default=1)
-c a33 -d CCU -r DRAM_CFG_REG -p DRAM_CTR_RST = 1, (default=0)
-c a33 -d CCU -r DRAM_CFG_REG -p SDRCLK_UPD = 0, (default=0)
-c a33 -d CCU -r DRAM_CFG_REG -p DRAM_DIV_M = 3, (default=1)
-c a33 -d CCU -r PLL_DDR_CFG_REG -p PLL_DDR_SRC_SELECT = 1, (default=0)
-c a33 -d CCU -r PLL_DDR_CFG_REG -p PLL_DDR1_MODE = 0, (default=0)
-c a33 -d CCU -r PLL_DDR_CFG_REG -p PLL_DDR1_PHASE_COMPENSATE = 3, (default=3)
-c a33 -d CCU -r PLL_DDR_CFG_REG -p PLL_DDR1_STEP = 0, (default=0)
-c a33 -d CCU -r MBUS_RST_REG -p MBUS_RESET = 1, (default=1)
-c a33 -d CCU -r DRAM_CLK_GATING_REG -p BE_DCLK_GATING = 1, (default=0)
-c a33 -d CCU -r DRAM_CLK_GATING_REG -p FE_DCLK_GATING = 0, (default=0)
-c a33 -d CCU -r DRAM_CLK_GATING_REG -p DRC_DCLK_GATING = 0, (default=0)
-c a33 -d CCU -r DRAM_CLK_GATING_REG -p CSI_DCLK_GATING = 0, (default=0)
-c a33 -d CCU -r DRAM_CLK_GATING_REG -p VE_DCLK_GATING = 0, (default=0)
-c a33 -d CCU -r BE_CLK_REG -p SCLK_GATING = 1, (default=0)
-c a33 -d CCU -r BE_CLK_REG -p CLK_SRC_SEL = 2, (default=0)
-c a33 -d CCU -r BE_CLK_REG -p CLK_DIV_RATIO_M = 3, (default=0)
-c a33 -d CCU -r FE_CLK_REG -p SCLK_GATING = 0, (default=0)
-c a33 -d CCU -r FE_CLK_REG -p CLK_SRC_SEL = 0, (default=0)
-c a33 -d CCU -r FE_CLK_REG -p CLK_DIV_RATIO_M = 0, (default=0)
-c a33 -d CCU -r LCD_CH0_CLK_REG -p SCLK_GATING = 1, (default=0)
-c a33 -d CCU -r LCD_CH0_CLK_REG -p CLK_SRC_SEL = 2, (default=0)
-c a33 -d CCU -r LCD_CH1_CLK_REG -p SCLK_GATING = 0, (default=0)
